Date,Order_Demand,Year
2012-07-27,100,2012
2012-01-19,500,2012
2012-02-03,500,2012
2012-02-09,500,2012
2012-03-02,500,2012
2012-04-19,500,2012
2012-06-05,500,2012
2012-06-27,500,2012
2012-07-23,500,2012
2012-08-29,500,2012
2012-08-29,500,2012
2012-09-18,500,2012
2012-10-11,500,2012
2012-11-01,500,2012
2012-11-29,500,2012
2012-12-26,500,2012
2012-01-06,50000,2012
2012-01-18,100000,2012
2012-02-02,50000,2012
2012-02-22,50000,2012
2012-03-02,50000,2012
2012-03-09,50000,2012
2012-03-23,50000,2012
2012-04-06,50000,2012
2012-04-16,50000,2012
2012-05-07,50000,2012
2012-04-17,50000,2012
2012-05-30,50000,2012
2012-06-20,50000,2012
2012-06-29,50000,2012
2012-07-09,50000,2012
2012-07-17,50000,2012
2012-07-30,50000,2012
2012-08-27,50000,2012
2012-07-31,50000,2012
2012-08-06,50000,2012
2012-09-04,50000,2012
2012-09-18,50000,2012
2012-08-30,50000,2012
2012-08-30,50000,2012
2012-09-12,50000,2012
2012-09-25,50000,2012
2012-10-01,100000,2012
2012-10-10,50000,2012
2012-10-18,100000,2012
2012-10-25,50000,2012
2012-11-01,50000,2012
2012-06-06,4,2012
2012-07-13,4,2012
2012-12-13,4,2012
2012-03-08,150000,2012
2012-03-08,150000,2012
2012-04-23,150000,2012
2012-05-23,150000,2012
2012-06-04,160000,2012
2012-06-04,160000,2012
2012-08-09,160000,2012
2012-08-20,160000,2012
2012-09-10,160000,2012
2012-10-19,160000,2012
2012-09-28,160000,2012
2012-11-19,160000,2012
2012-12-19,160000,2012
2012-04-25,1000,2012
2012-01-12,1000,2012
2012-01-16,1000,2012
2012-01-24,1000,2012
2012-01-24,1000,2012
2012-01-25,20000,2012
2012-02-01,20000,2012
2012-02-15,20000,2012
2012-01-31,1000,2012
2012-02-07,1000,2012
2012-02-13,1000,2012
2012-02-15,1000,2012
2012-02-21,2000,2012
2012-02-28,1000,2012
2012-03-06,1000,2012
2012-03-12,1000,2012
2012-03-21,20000,2012
2012-03-27,1000,2012
2012-03-27,20000,2012
2012-03-30,10000,2012
2012-03-30,10000,2012
2012-04-12,30000,2012
2012-04-20,20000,2012
2012-04-02,1000,2012
2012-04-09,1000,2012
2012-04-23,1000,2012
2012-04-27,20000,2012
2012-05-23,40000,2012
2012-05-01,1000,2012
2012-05-22,1000,2012
2012-05-29,1000,2012
2012-06-04,1000,2012
2012-06-15,30000,2012
2012-06-20,30000,2012
2012-07-04,30000,2012
2012-06-19,1000,2012
2012-06-26,1000,2012
2012-06-27,1000,2012
2012-07-04,1000,2012
2012-07-23,30000,2012
2012-08-03,30000,2012
2012-08-22,30000,2012
2012-07-24,1000,2012
2012-07-24,1000,2012
2012-08-07,1000,2012
2012-08-21,1000,2012
2012-08-28,1000,2012
2012-09-03,1000,2012
2012-09-10,1000,2012
2012-09-12,60000,2012
2012-09-25,30000,2012
2012-10-11,30000,2012
2012-09-25,1000,2012
2012-10-09,1000,2012
2012-10-12,1000,2012
2012-10-16,1000,2012
2012-11-06,1000,2012
2012-11-14,30000,2012
2012-11-22,30000,2012
2012-12-12,30000,2012
2012-12-27,30000,2012
2012-12-03,1000,2012
2012-12-18,1000,2012
2012-02-07,28000,2012
2012-03-01,4000,2012
2012-03-22,28000,2012
2012-03-22,9000,2012
2012-04-18,4000,2012
2012-04-23,2000,2012
2012-05-02,1000,2012
2012-05-22,23000,2012
2012-05-23,1000,2012
2012-05-30,1000,2012
2012-06-11,26000,2012
2012-06-27,1000,2012
2012-07-23,35000,2012
2012-07-23,2000,2012
2012-07-23,36000,2012
2012-07-26,2000,2012
2012-07-31,1000,2012
2012-08-06,15000,2012
2012-08-21,7000,2012
2012-09-18,42000,2012
2012-09-06,45000,2012
2012-09-24,1000,2012
2012-10-12,16000,2012
2012-10-15,2000,2012
2012-10-23,2000,2012
2012-11-20,1000,2012
2012-11-15,2000,2012
2012-11-29,3000,2012
2012-12-19,1000,2012
2012-12-19,2000,2012
2012-01-06,600,2012
2012-01-11,300,2012
2012-01-19,1600,2012
2012-01-24,900,2012
2012-01-27,1300,2012
2012-01-31,1600,2012
2012-02-03,200,2012
2012-02-07,1000,2012
2012-02-17,1800,2012
2012-03-02,1400,2012
2012-03-05,100,2012
2012-03-13,1400,2012
2012-03-22,1200,2012
2012-03-21,300,2012
2012-03-22,400,2012
2012-03-30,900,2012
2012-04-03,300,2012
2012-04-04,600,2012
2012-04-04,800,2012
2012-04-11,2700,2012
2012-04-16,300,2012
2012-04-20,300,2012
2012-04-16,900,2012
2012-04-17,200,2012
2012-05-08,900,2012
2012-05-07,500,2012
2012-05-10,1300,2012
2012-05-15,500,2012
2012-05-21,100,2012
2012-05-21,900,2012
2012-05-24,1200,2012
2012-05-28,1500,2012
2012-05-29,600,2012
2012-06-01,300,2012
2012-05-31,400,2012
2012-06-11,1600,2012
2012-06-14,1300,2012
2012-06-18,1900,2012
2012-06-19,600,2012
2012-06-26,100,2012
2012-06-28,600,2012
2012-07-09,500,2012
2012-07-12,100,2012
2012-07-17,600,2012
2012-07-19,500,2012
2012-07-25,200,2012
